time_from_start,request_per_seconds_avg,cpu_perc,replicas_no
6920,6.852620357053652,32,4
6930,6.449673790581613,32,4
6940,6.060297685041661,32,4
6950,5.684610648167492,32,4
6960,5.3227271178699525,32,4
6970,4.974757327377979,30,3
6980,4.640807271660634,30,3
6990,4.320978675139919,30,3
7000,4.015368960704592,30,3
7010,3.7240712200341552,30,3
7020,3.447174185242325,30,3
7030,3.18476220184823,35,2
7040,2.9369152030840695,35,2
7050,2.7037086855465944,35,2
7060,2.4852136862001757,35,2
7070,2.281496760738243,35,2
7080,2.0926199633097227,35,2
7090,1.9186408276168052,20,2
7100,1.7596123493896059,20,2
7110,1.6155829702431248,20,2
7120,1.4865965629214841,20,2
7130,1.372692417933898,20,2
7140,1.2739052315863333,20,2
7150,1.1902650954127196,30,1
7160,1.1217974870087914,30,1
7170,1.068523262271306,30,1
7180,1.0304586490452152,30,1
7190,1.0076152421804352,30,1
7200,1.0,30,1
7210,1.0076152421804352,20,1
7220,1.0304586490452152,20,1
7230,1.068523262271306,20,1
7240,1.1217974870087914,20,1
7250,1.1902650954127196,20,1
7260,1.2739052315863333,20,1
7270,1.372692417933898,20,1
7280,1.4865965629214841,20,1
7290,1.6155829702431177,20,1
7300,1.7596123493895985,20,1
7310,1.9186408276167983,20,1
7320,2.0926199633097156,20,1
7330,2.281496760738243,30,1
7340,2.4852136862001757,30,1
7350,2.7037086855465873,30,1
7360,2.9369152030840553,30,1
7370,3.18476220184823,30,1
7380,3.447174185242325,30,1
7390,3.7240712200341552,50,1
7400,4.015368960704585,50,1
7410,4.320978675139912,50,1
7420,4.640807271660634,50,1
7430,4.974757327377979,50,1
7440,5.32272711786996,50,1
7450,5.6846106481675065,70,1
7460,6.060297685041661,70,1
7470,6.449673790581613,70,1
7480,6.852620357053652,70,1
7490,7.269014643030211,70,1
7500,7.698729810778063,70,1
7510,8.141634964894386,55,2
7520,8.597595192178701,55,2
7530,9.06647160272879,55,2
7540,9.54812137224792,55,2
7550,10.04239778555042,55,2
7560,10.549150281252636,55,2
7570,11.068224497635356,50,3
7580,11.599462319663907,50,3
7590,12.142701927151455,50,3
7600,12.697777844051103,50,3
7610,13.264520988861399,50,3
7620,13.842758726130292,50,3
7630,14.432314919041474,66,3
7640,15.033009983067451,66,3
7650,15.644660940672631,66,3
7660,16.267081477050134,66,3
7670,16.90008199687508,66,3
7680,17.543469682057086,66,3
7690,18.19704855047464,55,4
7700,18.86061951567303,55,4
7710,19.533980447508135,55,4
7720,20.216926233717086,55,4
7730,20.9092488423976,55,4
7740,21.61073738537635,55,4
7750,22.321178182447692,60,5
7760,23.040354826462664,60,5
7770,23.76804824924866,60,5
7780,24.50403678833976,60,5
7790,25.248096254497288,60,5
7800,25.99999999999999,60,5
7810,26.75951898768315,53,6
7820,27.526421860705472,53,6
7830,28.300475013022663,53,6
7840,29.081442660546124,53,6
7850,29.869086912965034,53,6
7860,30.663167846209983,53,6
7870,31.46344357553631,68,6
7880,32.26967032920441,68,6
7890,33.081602522735,68,6
7900,33.89899283371656,68,6
7910,34.721592277142165,68,6
7920,35.549150281252636,68,6
7930,36.38141476386317,47,9
7940,37.218132209150035,47,9
7950,38.059047744873965,47,9
7960,38.903905220016625,47,9
7970,39.752447282806756,47,9
7980,40.60441545911203,47,9
7990,41.459550231172756,56,9
8000,42.31759111665349,56,9
8010,43.17827674798845,56,9
8020,44.041344951996734,56,9
8030,44.90653282974263,56,9
8040,45.77357683661733,56,9
8050,46.642212862617086,49,11
8060,47.512176312793734,49,11
8070,48.38320218785281,49,11
8080,49.255025164874965,49,11
8090,50.127379678135824,49,11
8100,51.0,49,11
8110,51.87262032186418,56,11
8120,52.74497483512506,56,11
8130,53.61679781214718,56,11
8140,54.48782368720627,56,11
8150,55.35778713738291,56,11
8160,56.22642316338268,56,11
8170,57.09346717025738,51,13
8180,57.95865504800327,51,13
8190,58.821723252011545,51,13
8200,59.68240888334651,51,13
8210,60.54044976882724,51,13
8220,61.39558454088798,51,13
8230,62.24755271719326,53,13
8240,63.09609477998338,53,13
8250,63.94095225512604,53,13
8260,64.78186779084996,53,13
8270,65.61858523613685,53,13
8280,66.45084971874738,53,13
